0
개쩐다. 꼭봐라 두번봐라 세번봐라  
드래곤 길들이기 이름 배낀건가?  
유쾌한 애니메이션 같습니다  
케이블 유로에서 나오면 꼭 볼게요.  
개봉전 평점: 5.50
전체 댓글수: 4
