0
크리스틴 누나 화이팅 나머지 분들도 화이팅 감독님 이 영화 제작해 주셔서 감사합니다. 대박 나세요  
크리스틴 누나 화이팅 나머지 분들도 화이팅 감독님 이 영화 제작해 주셔서 감사합니다. 대박 나세요  
크리스틴 언니 영화 기대 할게여!!  
샘 워터스톤이라면 뉴스룸의 찰리 스키너.. 게다가 주연 +_+  
정말 좋았어요.. 월터 교수님의 마지막 강의를 듣고 온 느낌  
흐음  뭔가 이상하다ㄷㄷ  
개봉전 평점: 8.50
전체 댓글수: 6
