0
관객들이 그렇게 좋아할만한 영화는 아닌것 같다  
평점이 가장높은 영화이네요 빨리보고싶어요  
다큐멘터리식의 영화라 기대되네요.  
전에 공연 한 번 본적있는데 영화로 나오다니.. 정말 기대 됩니다!!!  
너무기대가 되네요 ^^ 꿍따리유랑단 화이팅!  
그냥 강원래가 싫다  
개봉전 평점: 7.00
전체 댓글수: 6
