0
초밥왕ㅋㅋ아무도안봄  
별로 기대안된다....  
서양인이 아니라 인도계처럼 생겼는데...  
"호감순 1위에 있는 댓글, 미국에 백인만 있는 줄 아시는가 보네  "
이거 돈 주고 보면 백퍼 호갱되는 영화다.  
두 유 노 재팬? 두 유 노 스시?  
이게 핵존잼임 진심보셈  
밥 먹다가 생각해넸나? 제목 더럽게 못 지었네  
기대해봅니다 !! 초밥왕!!  
개봉전 평점: 3.89
전체 댓글수: 9
