0
높지탐험~ 신나보여용!! 무조건 꼭 볼건데 이번편 캐릭터 도장은 누군지 궁금하네요  
내가 좋아하는 옥토넛~~!!늪지라니~기대됩니당~  
드디어 기다리고 기다리던 바다 탐험대 옥토넛 시즌4 3파트 드디어 개봉예정이네요 빨리보고싶네요~^^  
시사회 다녀왔는데 네살 딸래미가 눈을 떼지 못합니다  
재미없을듯....10자내외  
개봉전 평점: 8.20
전체 댓글수: 5
