0
친구가 기대하지말라고했다...  
완전기대~  
와우~!!!  
배경 음향 연기 다 꽝!!! 파워레이져 보고있는거 같았음!!!  
맷파크만 나온다 ㅋㅋ  
개봉전 평점: 6.40
전체 댓글수: 5
