0
여배우 얼굴도 이쁜거 같고 청소년 관람불가에 성진국 영화라 볼만할듯  
오후 2시에 내 아내가 사라진다는 신박한 제목 만큼 내용도 재밌다 소장 고고  
내용은 매우 단순하고 여주가 그래도 예쁜편이다  
외로운 아내의 런치타임ㅋㅋㅋ집안단속필수  
개봉전 평점: 8.25
전체 댓글수: 4
