0
섬세하고 작은 여자들의 로드무비. 그들의 관계성과 바람을 관찰하며 만끽하는 여유.  
이시카와 히로시는 아직 덜 알려진 명감독임에 틀림없다. 연출방식이 테렌스멜릭뺨친다.  
"포스터만 보고 스크롤을 멈췄다 어디선 본듯한 익숙한 배우를 보았다 ""미야자키 아오이"" ""좋아해""라는 영화가 떠올라 감독의 이름을 눌렀다아니나 다를까 좋아해가 같이 뜬다상업영화로 흥행할 영화는 아니지만좋은추억이 떠오른다  "
각자 서로 다른 상처와 슬픔을 안고 있던네 명의 여인들이 조금씩 상처를 치유해가는 잔잔한 힐링 우정로드무비...감성을 자극하는 섬세한 영상미는 돋보이지만...내용전개는 여전히 그저 담담하게...  
빨리 개봉되었으면 좋겠네요  
바람불어 좋으련만...  
"풍경, 흘러가는....  "
바람의 감정으로 동하다.  
원숭이들의 영화는 볼 필요가 없다.  
개봉전 평점: 6.89
전체 댓글수: 9
