0
공포영화 재밌겠다  꼭 보아야 하겠다  
이니테이션? 언제부터  Initiation (이니시에이션) 이 이니테이션 이 됐습니까 ? 한국 영화 배급사 수준이 이정도 밖에 안되나요?  이런 공포영화 별로 좋아하지도 않고 볼생각도 없지만 제목 붙여 놓으거 보니까 괜히 화가나네요.  
파라노말 은 딱 1편까지만..  
와 주녀기랑 봣는데 연락하지말래 왜 그래 놀랏잖아?내가 좀 도와준거니까 나한태 빛진거다영화봣는데~평생친구가늘엇다  
보지 않고 판단할 수 없다! 재미있음 ㅎ  
재미있습니다~ 볼만한 영화예요~  
스릴넘치구  투자를많이해서그런지 씨지가엄청나요 귀신완전무섭꿀잼영화 !!꼭보세요 나만호구될수없지  
파라노말 이미테이션.  
개봉전 평점: 7.75
전체 댓글수: 8
