0
웃길거 같음ㅋㅋ 특히 마피아 등장이 기대됨  
재미있을것 같네요. 총각파티라는 영화가 생각날듯..  
라스베가스에서의 처녀파티라 ~~재밌을거같아요~~  
포스터부터 기대가 됩니다ㅋㅋㅋㅋ 재밌을듯!  
총각 파티만 있는줄 알았는데 처녀 파티도 있네요 어떤 영화 일까 궁금 하네요 ^^  
개봉전 평점: 9.60
전체 댓글수: 5
