0
B급 영화엔 B급 포스터가 어울리는것이다.  
오 기대된다 이거~~!!  
밑에 평가에 100프로 동감이다. 포스터부터가 구려 ㅋㅋ  
아니 저예산이라도 그렇지 포스터에 신경 좀 쓰자; 저 모양인데 누가 보냐  
베킨세일 & 베일 영화 제목만 베껴놨네;;;  
개봉전 평점: 5.40
전체 댓글수: 5
