0
패트레이버 스핀오프라는 것 만으로도 난 10점 준다.  
나도다...(웃음)  
이번에도 순수오리지널이 아니네요 . 캬샤의 활약이 멋젔음 악어 던전은 그대로 가다가 마지막에 공룡이 왜 나옴 ㅡㅡ;;  
이게 영화냐? 10자...  
개봉전 평점: 6.25
전체 댓글수: 4
