0
무슨 이야기일지 궁금한 ㅎㅎ 기대되네요  
이민자를 죽이는 이야기라 ㅋㅋㅋ  
독일 스릴러 기대됨~~~  
소재가 엄청 흥미진진함  
아직 선발대가 없는 것인가..아니면 돌아오지 못 한것 인가  
"췩! , 선발대 응답하라  "
"췩!, 선발대다 , 이영화는 걸러도 좋다 오바  "
개봉전 평점: 7.71
전체 댓글수: 7
