0
짝퉁 옹박....ㅋㅋ  
제목을 옹박 말고 지을줄도 모르는 조센징 수준  
이제 고만 우려먹자~~~  
태국 액션 영화에 대체 언제까지 옹박이라는 이름을 사용할껀지... 토니 쟈도 안나오는 것 같은데 말이야 게다가 태국도 아니라 중국이네  
캬 이거 죽이네...ㅋㅋ  
욜라 뽕따이!!!!ㅋ  
개봉전 평점: 3.67
전체 댓글수: 6
