0
찜  
예고편 대박!!! 진짜좋다!!! 완전!!!!! 삐용삐용하면서 사진 편집된 영상 전율 최고!!  
극장가서 볼꺼예여!!!!  
예고편 너무좋아요 극장가서 꼭 봐주겠음!  
완전 보고 싶다.ㅠㅠ  
개봉전 평점: 10.0
전체 댓글수: 5
