0
들어갔어요 헤리케인~~  
"포스터에 ""광대케인"" 왜케 코믹스럽게 해놨지....  "
예고편 봤는데 무슨 제목 자막부터 전혀 안무섭고 예고편은 무섭지도 않고 대학과제 수준의 엉성한 연출수준으로 만들어놨네. 왜 전작들 평가가 안좋은지 알수 있다.  
감독이름이 '크리스토퍼...' 이렇게 써있길래 설마 그분?? 인줄 알았는데 웬 3점짜리 전문감독  
라멜라OOO야 패스해  
개봉전 평점: 3.40
전체 댓글수: 5
