0
"당신에게만 보이는 공포,, 좀 잼겟는데??  "
먼가 <오펀-천사의 비밀> 삘 난다 ㅠㅠ  
공포영화 슬슬 나오네 ㅋㅋ 유전 느낌이려나??  
오늘 밤 댓글1등 나야나 나야나  
개봉전 평점: 10.0
전체 댓글수: 4
