0
De Vrais Mensonges ( beautiful lies ):엄마를 위한 거짓말을 하는 딸을 그리는 이야기... ...  
드디어 나오는 군요~ 이년전 프랑스가는 비행기안에서 두번이나 봤었어요 너무 재밌고 오드리토투의 매력에 흠뻑 빠졌네요 달달하고 귀여운 영화에요~!^^  
살랑살랑 마음을 간질이는 로맨스가 보고싶다면  추천해요!  
"오드리 언니,,보기만해도 기분 좋아짐! 개봉하면 꼭 볼게요 ~~  "
스토리가 재미있겠는데..기대됩니다.  
개봉전 평점: 9.40
전체 댓글수: 5
