0
진짜 최악이에요 보지마세요 포스터에 속지마!!@  
재미 없어서 빨리 돌려가며 봤더니 더 재미없었음  
그대로 지하로....  
지금보고 있는데 걍 닫고 다른영화로.쓰레기임.지하에서 사람 몇명 나와서..머하자는건지  
재미없나요? 궁굼하네요~~ㅎ  
"진심.. 초저예산 영화 ㅡ,.ㅡ ;;; 포스터에 속지마세요.  "
첫평점인가.. 그럭저럭볼만함요 킬링타임용  
개봉전 평점: 3.00
전체 댓글수: 7
