0
배우들의 연기력으로 집중되는 영화다. 내가 저 주인공이라면 정말 끔찍할듯;;  
음 그냥저냥킬링타임용으로 좋네요  
이런 영화는 극장에서 봤어야 했는데 인터넷으로  본게  후회된다. 극장에서  다시  보고 싶은 영화.  
개봉전 평점: 10.0
전체 댓글수: 3
