0
배우들 몸 까놓고 눈요기나 시키려는 B급 막장영화  
ㅋㅋㅋㅋ영화끝나누순간까지 웃었다. 진짜배아플만큼 웃긴영화! 강추!  
배경음악은 거의 안 나오는데화장실 효과음만은 뛰어나다그리고 남우들의 화장실 연기또한 훌륭하다  
"잼나요....,.,.,..,.,.,.,..,  "
개봉전 평점: 6.50
전체 댓글수: 4
