0
많은 기대 하고 있어요! 특히 출연진들이 눈길 가네여  
학교에 다닐 때 '시선 시리즈'를 몇 편 봤었는데 이번 신작에서는 어떤 흥미로운 영화들이 만들어졌을지 기대가 됩니다!! 개봉하면 보고 싶네요~ 포스터를 보니 특히 <우리에겐 떡볶이를 먹을 권리가 있다>가 어떤 이야기일지 궁금합니다.  
"<4등>에 이어, 인권영화 프로젝트 신작이 나왔군요! 항상 웰메이드 작품들이었어서, 이번에도 기대됩니다. 연출진, 출연진 모두 눈길이 가네요!  "
6천3백!(명) 예상해봅니다.  
개봉전 평점: 8.50
전체 댓글수: 4
