0
개봉좀 해주라 존나 보고싶다  
빌 보고 싶다 영화 너무 보고 싶다  
제발 한국에서 개봉하게 해주세요..ㅜㅜㅠ  
한국에서 개봉했음 좋겠어요ㅜㅜㅠ너무 보고싶어요ㅠㅜ  
어떻게 저렇게 생겼지 ㄹㅇ  
개봉전 평점: 10.00
전체 댓글수: 5
