0
제목이 맘에 안든다  ㅁㅊ  
대놓고 친일 ㅋㅋㅋ 영화계는 좌빨투성이지만 돈이라면 일본아주 ㅋㅋㅋ 어떤 인간들이라곤 말안함  
영화 제목 왜 이따구...  
"제목만 보면 흥행에는 관심없다는 배급사의 순수한 열정이 느껴지네요.. 하여, 열정점수 1점 추가해 드리겠습니다~  "
이런걸 왜 올리냐 역시 네이버답다ㅉㅉ  
태평양전쟁 일본군의 마지막 카드였던 가미카제란 말을 아무 연관성이 없는 영화에다 막 갖다붙이네ㅡㅡ영화제목으로 어그로 끌어보려고 한건가??  
이런걸 수입한 수입사도 대단하다  
Arrival은 컨택트로 잘만 바꾸면서 이런건 안 바꾸냐? 진짜 ㅄ같은 영화배급사들  
제목 저렇게 만든 ㅅㄲ 대가리 대라.  
제목이 ㅂㅅ같네 진짜ㅋ  
영화는 영국영화인데 제목은 일본이네 ㅅㅂ  
한심한 영화 배급사;;  
오 이거 은근 땡김 ㅋㅋㅋ  
개봉전 평점: 1.85
전체 댓글수: 13
