0
데드 스페이스 표절한듯  
영화좀 보고나서 평점을 달든가 해라 좀만한 놈들아 ㅉ  
우주시대에서도 흥분하면 뭐되는거...  
데드스페이스 같으니까 재미있을듯  
거인님 말 보고 나서 포토 보니까 진짜 데드스페이스1 생각나는  
기대되는 작품이다! 요즘 인터스텔라를 봐서 그런지 우주 영화 끌린다  
좀 좀 보이는 외계인이 침입좀 하라고 보이지 않는 외계인하고 인간 몸으로 합성되는 외계인 왜이리 많아  
"포스터 대박,,, 재밌겠다!!  "
개봉전 평점: 5.50
전체 댓글수: 8
