0
토토 넘 귀욥쟈나ㅠㅠ 오늘 시사가는데 넘 기대  
악 귀요운 배도링드리ㅡ  
노르웨이 애니메이션이라.. 기대가 크다! 국내개봉하면 보러 가야지  
얘들 그 스노우브라더스에서 마지막 보스 닮음  
개봉전 평점: 9.75
전체 댓글수: 4
