0
다른건 몰라도 여배우 몸매는 쥑이네요...주인공 친구가 더 갑인거 같아요.  
난 이런 선배라도 있었으면 좋겠다. 여주 몸매 아주 오졌다.  
날름 재미있네요~~ㅋㅋㅋ  
수위가 센 것도 그닥 모르겠고 4-5번 나오는 씬들이 죄다 하다 끊김. 감독이 하다 끊기는 거에 페티쉬가 있나? 비주얼은 그닥 나쁘지 않았던 것 같은데... 특히 젊은 남자 배우는 몸도 좋고 민도윤 같은 애들보다 훨씬 나은 것 같지만 연출이 똥망..  
"에로는 모두 야해야하는가?! 그럼 야동보시지!! 구석구석 재미있겠구만, 코믹하고! 이런선배 한명있으면 좋겠다~~  "
전혀 달콤하지 않은 여선배. 막가는구만. 이런게 망해야 고퀄에로가 나옵니다~ 여러분~ 안보는게 개이득 돈아까움 ㅠ  
요즘 여배우들 얼굴 왜이러냐? 이게 영화인게 실화냐?  
밤에 몰래 엄카로 결제해서 봐야지...ㅋ  
이젠 막나가자는 거지요?  
개봉전 평점: 6.44
전체 댓글수: 9
