0
무서ㅂ고  놀라고 ㄷㄷㄷ  
주인공이 너무 불쌍해요  
피할 곳이 없는 공포영화  
밖으로 나갈 수 없으니 압박감이 더하다  
포스터가 너무 ㅎㄷㄷ.. 공포영화 좋아한다면 볼만함!  
왘 심장 약한 분들은 조심하시길... 겁나 깜놀ㄷㄷ  
지루함ㅠ 괜히시간아까비 결론도짜증  
깜짝놀람!! ㅠ ㅎㄷㄷ.. 무섭다  
개봉전 평점: 8.62
전체 댓글수: 8
