0
"6월 초 무주 산골영화제에서 상영했었을때  보았습니다. 노마 라는 레스토랑안에 여러가지 갈등들. 그리고 포기하지 않는 열정, 그런것이 이 영화의 멋을 살려준듯 합니다.  "
음식의 향현 배고파지게 된다  
정상에 향하는 과정 시련들을 버텨내고 결과를 만들어내는 노력들을 느낄수 있어서 좋았다.  
특펼한영화재미있게봤어요  
눈이 즐겁고 내용도 좋은 영화예요^^  
북유럽 노마의 음식의 스토리와 셰프의 노력이 빛나는 멋진영화  
세계적인 노마 레스토랑을 알수있어 좋은 것 같아요 :)  
세상에 가장 자연과 가까운 요리..  
전원일기 이계인아들 인가  
개봉전 평점: 9.78
전체 댓글수: 9
