0
인디펜던스데이의 짜가판임?  
망할거 같은건 기분탓 이겠지! 영화 흥하시길..  
대표적인 미국 만만세 영화아냐? 스케일은 궁금한데  
재밌겠다...  군입대  바로 다음날 개봉이네 ㅠ  
오늘도 지구는 미국이 구한다.  
개봉전 평점: 6.80
전체 댓글수: 5
