0
포스터만 보면 상당한 괴작임에 틀림없습니다!  
이건뭐.............  
내가 코파는 영상이 이것보다 흥한다  
포토를 보니 괴물 CG가....참.....발로만들었나요?  
액션 어드벤쳐 모험 영화 중에서도 볼만합니다.극장에서 애들이랑 꼭 보시길..강추합니다  
신밧드 소재로 한 영화는 진짜 오랜만에 보네요...애들 방학때 보여주면 좋아하겠어요  
어드벤쳐  너무좋아요....방학을 즐겁게...  
개봉전 평점: 5.43
전체 댓글수: 7
