0
뭔가를 생각하기에는 만남의 환경이 자극적이다  
"우리말 제목 번역이 좀 이상하군요. ""젋은 롯데의 번민""이 적당할 것 같같네요. ""젋은 베르테르의 번민""에서 따 온듯.  "
일반인들이 형편없다고 생각하는 부류의 사람들이 등장한다고 해서 형편없는 영화인건 아니다.  
이런 그지같은..  
개봉전 평점: None
전체 댓글수: 4
