0
역시 네이벌레님들 보지도않고 영화 판단하기 오집니다 너네 미래는 안봐도 보이니 그만사시길 삼류 아니면 씨급이니  
B급 공포물이네...  
3류 좀비영화 좋아해서 10점 줌  
ㅡㅡ;; 3류 좀비영화...  
b급냄새솔솔풍겨서 1등급받으시라고 1점드리고갑니다  
포스터 지려서 5점준다  
개봉전 평점: 5.33
전체 댓글수: 6
