0
젊은엄마4의 정사신은 좋았으나 기대했던 배우들의 부진으로 평점을 많이 깍아먹은듯. 여기에서는 그런 실수를 만회하고 파격적인 스토리와 정사신 부탁드립니다. 여비서라는 컨셉에 맞게 올누드 말고 보는 재미가 있게 의상에도 신경 좀 써주세요. 기대하겠습니다.  
내평점배우들이 신선하지는 않네요...여주분 단역으로 많이 나오다가 이번에 주연이군요...임팩트있는 신인 여배우를 기대합니다! 다른 영화에서....  
그냥 보고 싶어서...  
투디스크에 바로뜰듯 ㅋㅋㅋ  
남주가 젊은엄마4 찍을때 감독 눈에 들었나보네 이번에도 나오네 ㅋㅋㅋ  
개봉도 안한 영화아님??  
스크린보다는 안방에서 몰래 혼자봐야지  
골든타이드도 케이씨알ㅈ ㅣ랑 같은수준으로 떨어지나요? 출연자캐스팅 참...  
개봉전 평점: 6.75
전체 댓글수: 8
