0
"혹시 본다지가 좋아 예고편에 혹하여 보 실려는 분들... 보지 마십시요 ... 예고편이 다구요, 가슴조차 안나옵니다.  "
욕망에 대한 어설픈 해석  
처음 임팩트에 비해 보다 보니 별 거 없었다.  
제목이 이끌려 보고 싶음!!!  
시원하게 가슴팍에 찍어 버리네  
기승승결. 과대포장. 껍데기만 있는 스릴러?  
영화도 제목처럼 뒤틀려있음.  
매력적인 여배우의 뒷태  
내가 글남겨보긴 첨이네...ㅋㅋ  근데 이집에 왜 찾아온걸까??영화를 봐도 모르겠음....내가 만들어도 이거보다 잘 만들거 같은데...  
몰입감은 좋습니다. 정말 남편 대다나다... 남편이 더 쓰레기 인데...  
볼만해요 몰입도는 좋으네요  
재밌어요 야하고그런거아님  
재밌음 야한거 아니니깐 오해말고요 ㅎㅎ  
개봉전 평점: 7.08
전체 댓글수: 13
