0
ㅋㅋㅋㅋ 열정에 박수를보내요. 감독님화이팅~! 이정도 고집은 있어야 샤크스톰감독답지. 암.  
샤크스톰를 만든 이 감독님 영화는 무조건 강추한다  
"진짜 입을 딱 벌리고 봤네요~ 1편이 죠스를 기반으로한 재난영화에 가깝다면, 2편은 다이하드 같은 히어로물에 가깝답니다. 상어를 반토막 내는 순간은.정말~ 캬~  "
이걸 또만든다고 ? ㅋㅋ와 ...진지하게 미쳤네 .정신못차린건가.장르가 코메디인가  
토네이도 아닌 샤크네이도?  
개봉전 평점: 7.80
전체 댓글수: 5
