0
영원한 3류들의 몸부림. 관객의 시간을 죽이는 절도범들.  
마크 다카스코스 감독...  
좀 지루하지만 볼만했다  
정말 대단하신 배우겸 감독  
개봉전 평점: 4.00
전체 댓글수: 4
