0
그나마 여주가 살렸다.  
얘작품은 겁나 내스타일이라 다 가지고있음  
여배우 진짜 예쁘네요 한동안 업게 탑일 듯  
보고싶다  보고싶다  유설영  
어리고앳되보여서좋네요그외엔하나부터열까지노잼  
개봉전 평점: 6.80
전체 댓글수: 5
