0
정말 웃기고 보는내내 웃다 끝나버리넹..진짜 재미나네요  
생각나는거라곤....여배우들의 과다한 가슴뿐....  
앗싸 1빠.... 저도 테잎 참 좋아 하는데요..제가 한번 보겠습니다^^  
개봉전 평점: 6.67
전체 댓글수: 3
