0
강인=사기꾼 .. 음... 뭔가 느낌이 있어보이네요  
뭔가 느낌이 있어 보일것 같은 영화네요.. 사지만 보면..  
엄딸 너무 기대됩니다~  
개봉전 평점: 9.33
전체 댓글수: 3
