0
설정도 특이하고 SF물 같아서 재밌을 것 같음ㅋㅋ  
한 편의 그래픽 노블을 보는 듯한 그림이 멋지네요. 남미 역사에 관심이 많은데 꼭 봐야겠음!  
리루 올림픽 에서 지카로 죽는 사람들의 이야기 인가  
영화를 보고나니 브라질이라는 한 나라의 역사를 훑은 것 같아요. 우리나라와 비슷한 점이 많아 공감되는 내용도 많았습니다.  
사랑과 분노에 관한 이야기!  
오랫만에 만나는  어른들을 위한 애니메이션인것같습니다~기대됩니다.  
궁금한 영화네요 얼른보고싶어요!  
개봉전 평점: 8.14
전체 댓글수: 7
