0
진원지인->진원지가  
기대되요~~ 나오면 보고싶어요  
지진장르 성공한걸 잘못봤다 딱봐도 쓰레기일듯 포스터만 봐도 짐작가능함  
개봉전 평점: 4.33
전체 댓글수: 3
