0
음... 전편을 개인적으로 잘봐서 이번것도 기대하겠음~!!  
포스터를 보니 더 기대가 되네요!!  
황정민 김아중으로 읽었네요~  
돈워리 비해피...처음부터끝까지....걍 쭈욱~침대에서 떠나지 않는다.  
1은 여자 연기도 그렇고 노래부르는 씬의 그 엄청남(부들부들..)이 잊혀지지 않아서 거슬렸는데 2는 어떨지??  
개봉전 평점: 8.80
전체 댓글수: 5
