0
"어디서 볼수 잇을까욧?
  "
윤성호 감독 영화는 항상 재밌을 것 같다.  
"닥치고멋짐
유일하게 쭉 찾아보는 감독
소소하고찌질하고 소년같고솔직하고 풋풋함.  "
어디서 볼 수 있을지  
도약은 패턴  
개봉전 평점: 9.80
전체 댓글수: 5
