0
차승원의 귀신이 산다 후속편 집에서 나가 ㅋㅋㅋ  
포레스트보단 재미없으면 별점 겁나깎아줌  
내집에서 나가가 뭐여 ㅋㅋㅋ  
개봉전 평점: 4.00
전체 댓글수: 3
