0
무협영화! 보고싶어요~ 어서 개봉해주세요~~  
새로운 금의위! 기대!  
금의위 시리즈는 모조리 섭렵해야해요!!!빨리 개봉해주세요  
견자단 안나오네...  
크 좋다좋다 금의위 빨리 개봉해라~!!!  
개봉전 평점: 8.80
전체 댓글수: 5
