0
개봉일좀 당겨주십쇼!!  
감동스러울 것 같아요...실화영화 꼭 보겠습니다! 세상에 불가능이란 없다...  
언터쳐블 느낌 나는 듯?  
출발비디오 여행에서 소개 해준거 보고 너무 맘이 아팠어요. 먹먹하네요. 감동도 있구요  
실화잼 재밌을듯ㅋㅋㅋ  
미친 커플! ㅋㅋㅋㅋ 유쾌발랄 감동신화네요  
"오늘 시사회로 봤는데, 정말 최고의 감동이었어요~구성도 너무 좋구... 많은 어려운분께 희망이 될거 같아요  "
"오 다음주 개봉이네, 요즘 이런 감동 스토리 없어서 기대된다  "
실화인만큼 기대하며 보러가겠습니다  
개봉전 평점: 9.78
전체 댓글수: 9
