0
수상한 이웃들 간에 펼치는 재미있는 코믹 연기가 기대되네요 ㅎㅎ  
로그인 하게 만든 영화는첨 진심 연기고 내용이고 없다....  
"도대체 누구의말이 맞을까? 어떤분은 재미있다고하고 어떤분은 재미없다하고

  "
위험한상견례너무재밌게봐서 이것도 너무 기대됨ㅋ친구가강추하는작품  
전남에는 상영하는 곳이 없네요~~보고 싶은데ㅠㅠ 상영관 좀 늘리지...  
시사는 사람 넘쳐나더만... 극장이 없어서 어쩔래나  
입소문으로 성공할 영화일꺼같습니다!!  
이거 완전 배꼽잡아요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  
와전 재미있는 영화  
개봉전 평점: 8.33
전체 댓글수: 9
