0
■ 지루하다~ 엉성하다~ 재미없다~ 시간 아깝다~ 보지 마라~ 박푱시기는 밥은 먹고 다니냐? ㅋㅋㅋ  
왜 나름 볼만한데 ~~ 꼭 중요한날에 귀중한 시간내어 보시길  
"빠른 액댐이 필요하다면 이 영화로 하길, 최악이다.  "
이 영화 제작자는 분명 슬링핑독스를 재밌게 했을꺼야. 설정도 비슷하고 ost도 비슷하고 주인공 생긴것도 비슷하고. 다만 팬무비 수준이라 스토리 진행과 연출이 안타깝다. 아마 저 예산 영화겠지. 시도는 좋았다.  
80년대 액션영화 수준도 안된다.  ㅋ아~짜증나  
연기력이 그야말로 심각하다  
"킬링타임도 안되네. 순한범죄자, 90년대 액션  "
뭐 나름볼만했다 추천할만큼은 아니고  
개봉전 평점: 3.75
전체 댓글수: 8
