0
"포스터, 예고편 올려주세요.  "
정부지원받아서양악수술좀했으면좋겠네요  
리사 나오네~~ 빠는 개봉 해주세요.  
제발이름바꿔서나오지마라신인배우줄알았나  
스틸 보니 단발머리 뉴페이스  
일본사람 리사 왜자꾸 캐스팅하냐 연기도 못하는데 섭외할사람 그리없나 ?  
앗싸~신입 여배우 왔다~  
개봉전 평점: 5.14
전체 댓글수: 7
