0
삶의 무게를 유쾌하게 풀어낸 재미난 영화  
락에 관심이 있어서 특히나 재밌게 봤네요. 모른다고해도 충분히 재밌게 볼거같네요 ㅎㅎ  
우연히 보게 되었는데 겁나 재밌어요  
돈 아깝지 않은 영화..ㅎㅎ  
제천 음악영화제에서 보고 왔습니다..하하^ ^  꼭 개봉해서 작년 서칭포슈가먄맨처럼 좋은 유개한감흥 많은분들이 받으셨으면 합니다..  
9회 제천국제음악영화제 개막작이라 봤습니다.블랙메탈이라는 어두운 소재로 무거운 영화일줄 알았는데 정말 상쾌하게 잘 봤습니다.Gud film!!  
음악 소재로 무난한 킬링타임  
이만큼 죽음과 동떨어져 있는 것도 없다.  
유쾌하고 재밌게 봤어요ㅋㅋㅋ  
개봉전 평점: 8.44
전체 댓글수: 9
