0
이거다....인터스텔라 이후 아이맥스에서 볼만한 영화가 없었는데...이거 꼭 아이맥스로 개봉했으면  
영화를 아무리 못만들어도 재밌을것 같다 왜일까  
은근 재밌을듯한 필...꼭 봐야지  
개봉관에서 개봉하시길  
개봉전 평점: 9.75
전체 댓글수: 4
