0
이쁜배운데 왜 포스터를 저런 사진으로 했을까  
니몸이 내몸이고 내몸이 니몸이고 니몸만 몸이냐 내몸도 몸이다 내몸도 존중해달라.  
멀까 궁금  ㅋㄷ~!@$%^&**  
완전~대박!!!! 뚜뚜룻뚜  
여러분 이거  다~ 거짓말인거 아시죠?  
머지이건 먼데10점?  
얼마나 나올까?? ㅋㅋ 기대된다 므흣~  
기대되요~!!! ㅋㅋㅋ여배우가 예뻐용.ㅋㅋㅋ  
개봉전 평점: 7.75
전체 댓글수: 8
