0
솔직히 보고 싶지 않다는 ...  
기대되네요~~  
UMF 티켓도 구매했는데! 영화개봉이 먼저니깐 보고가면 되겠군요!!!  
왜 한시간밖에안하지 두시간반정도했음좋을텐데쩝  
벨로스터 파티에 칼 콕슨가 하는 사람이 왔었지 않나? ㅡㅡ;;  
오오오 완전 보고싶어요. 8월에 우리나라에서도 UMF KOREA 2012 개최한다던데..대박!  
개봉전 평점: 7.33
전체 댓글수: 6
