0
영화가 B급도 아니고 C급이하임  
초반엔 일본 B급의재미를 기대하게하나 금새 Z급으로 떨어짐...다카시마 레이코 왜출연한거냐~  
"중반까진  등장인물이 상냥하고 똑똑하고 재밌었는데, 중반이후는 납득이 안가는 막장. 끝까지 봤는데 찜찜하네요.  많이 별루.  "
나름 재밌게 봤어요 ㅋㅋㅋ  
진짜 별로예요 스토리도 엉성하고  그냥 일단 주제가  뭐하자는 건지 모르겠음  어렸을 때  어머니한테  학대받아서  여자를 싫어하게  되었다는 일본 영화의 너무 흔한 클리셰임  일본만 그런건 아니지만  
10분 보고 일단 씁니다. 웬지  8-90년대 영화 같아서 들어와봤어요  
시간낭비하지마세요 3류중의 3류 피는 물감같고 스토리도이상하고 그냥 재미없네요  
미안하지만... 정말 최악입니다 ㅠㅠ  이게 뭔지...  
재밌네요. 이런게 명작이죠  
개봉전 평점: 3.22
전체 댓글수: 9
