0
오.. 이완맥그리거가 감독까지 했구나..  
말도안돼 영화화되는거에요 ? !  
헐? 유완맥그리거 감독에 루퍼트에반스까지 나오네ㅠㅠ  
홀 이완맥그리거나온당  
명작의 스멜. 이완 맥그리거가 감독까지 했네. 궁금하다.  
대박이다. 필립로스 원작에 이완맥그리거 제니퍼코넬리 다코타패닝 ㄷㄷㄷㄷ어마무시 ㄷㄷㄷ  
이완 맥그리거가 감독을~ 첫작품 치고 괜찮은듯..먹먹하고 속상하고 안타깝다. 엄청 몰입해서 잘봤다  
보고나니 마음이 아프네요..  
10월에 개봉이라면서..  
오늘 시사회보고왔어요 ~ 재밌는데 흠 .... 뭔가 ㅋㅋ 살짝 감동적이기도하고 억울하기도한영화네요 ...ㅋ  
시사회에서 보고 왔습니다. 가족애를 그린 건데 꽤 볼만합니다.  
아 빨리 개봉했으면..  
띠용 감독이랑 주연배우 동일인물이네  
개봉전 평점: 9.46
전체 댓글수: 13
