0
새로울것도 없는 그내용이 그내용  
개xx진지하게 젊고 탱탱한 여배우 없냐..?  
유나에게 박수를 보낸다. 그리고  뉴페이스는 누구?  
이번에도 네토라레 성향이 보이는것 같군요~ 응원합니다  
그래도 아직은 이채담 그래도 아직은 이채담  
개봉전 평점: 6.40
전체 댓글수: 5
