0
미샤 바튼이 나오네???? 위자 보드 소재도 신선하고 ㅋㅋ 기대됩니다  
오  잼겟다 공포영화 핵 오랜만  
뭔가 유전? 같은 느낌 ...  
포스터 부터 기대되네ㅋㅋㅋㅋ  
개봉전 평점: 10.00
전체 댓글수: 4
