0
희망을 얘기하는 영화라 그런가 포스터가 참 예뻐요!! ㅠㅠ  
배우가 아닌 마마의 모습을 보다.  
최고의 감동 넘 재밌다  강추  
시사회 봤는데강추강추강추  
페넬로페 크루즈 이런연기도 가능했나? 대단한거같음  
엄마는 강하다!  감동도있고 훈훈하다그렇지만 약간 올드한 느낌도있다  
결핍과 상실이란 클리셰와 마주하는 인간극장.  
개봉전 평점: 8.57
전체 댓글수: 7
