0
Cgv나 메가박스에서 개봉좀해주세요. 어디서 보라는 말인지..  
난해 함 예술적의 극치 ....  
소노시온 이라니.. 극장에서는 아닐지라도 나중에 꼭 봐야징  
대단한 또라이 ㅎㅎ 역시 이름값 하는구나!! 소.노.시.온  
소노 시온의 부활이 반갑다!  
소노시온 최근작품들 왤케노잼이냐 초심일은듯  
이거 어떻게 보는걸까요  
개봉전 평점: 8.29
전체 댓글수: 7
