0
김인애 언제가서 쥐도새도모르게 모형하고왔냐.. 그냥 자연스러운게 좋았는데 와 순삭으로 했네  
배우들은 괜찮았다. 민도윤이랑 민우 안 나온 것만 해도 평타는 쳤다고 생각함. 근데 베드씬 구도가 진짜 식상하기 짝이 없음.... 요즘 에로들이 옛날 하소연 시절 에로들보다 못하다는 걸 느끼게 해주는 영화였음.  
김인애 비쥬얼은 갠찮은데 보니깐 대호필름제작 이네 ... 대호필름껀 피해가자!!  
김인애~ 알아서 거른다.  
가슴 수술 자국 때문에 ㅠ ㅠ  
물갈이만으로도 최소한은 먹고 감.  
엄마역 나오시는분  신선함에 10점을 드린다  
전작보다는 그다지였지만 무난하게 볼만은 합니다  
김인애 업그레이드 축하  
왜 레즈작품이하나도없나여 좀 만들어주세여   ㅜ  
김인애 육감적이다~계속 좋은 작품 찍어주길...  
개봉전 평점: 5.55
전체 댓글수: 11
