0
극장 같지도 않는 극장에 개봉하네  
볼사람도 없을것 같은데 이런영화를 왜 만들까요??? 그제작비로 어려운사람들 도왔으면 해요.  
18녀언인줄 죄송합니당 ㅠㅠ  
개봉전 평점: 1.33
전체 댓글수: 3
