0
휴먼레이스 + 메이즈러너....?  
뭔 이런 내용을 가지고 속편까지 만드려고 시도하냐?  
SF 미로 서바이벌 액션은 언제나 좋아  
스릴과 액션 만점의 SF 영화  
개봉전 평점: 6.75
전체 댓글수: 4
