0
순정 같은 영화 좋아하는데 풋풋해서 좋았다는...가을에 보기 딱이네요.  
간만에 잼나게 봤네요 내돈 내고 내가 본 영화 평점 9 날려드립죠 .  
마음이 따뜻해지는 또 보고 싶은 영화네요.  
따뜻한 미소를 짓게 되는 영화네요. 친구들이랑 자전거 타러 나가고 싶어졌어요!  
난 재미없던데 지루하고 ...  
시간은 존재하지 않아 시간은 환상에불과해 이 대사가 이상하게 인상적이다.영화자체는 응답하라시리즈 감성편에 해당될 듯 싶다.  
제목에 이끌려서 보게됐는데 마음이 따뜻해지는 영화네요^^  
잔잔한 여운이 남네요.  
친구들의끈끈한우정을느낄수있는영화입니다~~  
재밌어요~ 친구보러 가야겠다  
감성 풋풋하게 만드는 따뜻한 영화!!  
개봉전 평점: 8.91
전체 댓글수: 11
